Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
================================================================
APOLLO HUMANOID - STAGE 2: NATURAL STAND & LOCOMOTION (v9)
112-dim Base Frame Obs | Stand-Still Reward | Linear Actor
JAX Backend: gpu
Devices: [CudaDevice(id=0)]
z_nominal=1.0160m | TERM_HEIGHT=0.762m | ACTION_SCALE=0.15
OBS_DIM=112 | CTRL_DT=0.01s | step_freq=1.2Hz
[v9 CONFIG] Envs=4096 | Rollout=24 | Steps/iter=98,304 | Total iters=1525
[v9 CONFIG] Obs=112 | ActionScale=0.15 | Total steps=150,000,000
Starting training loop at 2026-09-10 17:47:34...
[0095/1525] steps=9,338,880 | rew=0.08293 | loss=0.1360 | sps=7,154 | ent=0.0083 | log_std=-1.781 | t=1623s *** BALANCED WALKING ***
[0096/1525] steps=9,437,184 | rew=0.08276 | loss=0.1304 | sps=7,177 | ent=0.0083 | log_std=-1.778 | t=1637s *** BALANCED WALKING ***
[0097/1525] steps=9,535,488 | rew=0.08247 | loss=0.1274 | sps=7,181 | ent=0.0083 | log_std=-1.776 | t=1651s *** BALANCED WALKING ***
[0098/1525] steps=9,633,792 | rew=0.08114 | loss=0.1245 | sps=7,185 | ent=0.0083 | log_std=-1.775 | t=1665s *** BALANCED WALKING ***
[0099/1525] steps=9,732,096 | rew=0.07855 | loss=0.1218 | sps=7,102 | ent=0.0082 | log_std=-1.773 | t=1678s stepping
[0100/1525] steps=9,830,400 | rew=0.07594 | loss=0.1173 | sps=7,049 | ent=0.0082 | log_std=-1.772 | t=1692s stepping
-> saved latest checkpoint: /content/checkpoints/apollo_stage2_v9_latest.npz
-> GitHub REST API push OK (step=9,830,400)
[0101/1525] steps=9,928,704 | rew=0.07305 | loss=0.1120 | sps=7,169 | ent=0.0082 | log_std=-1.771 | t=1709s stepping
[0102/1525] steps=10,027,008 | rew=0.06926 | loss=0.1185 | sps=7,135 | ent=0.0082 | log_std=-1.769 | t=1723s stepping
[0103/1525] steps=10,125,312 | rew=0.06412 | loss=0.4458 | sps=7,135 | ent=0.0082 | log_std=-1.766 | t=1737s stepping
[0104/1525] steps=10,223,616 | rew=0.05885 | loss=1.5937 | sps=7,142 | ent=0.0082 | log_std=-1.759 | t=1751s stepping
[0105/1525] steps=10,321,920 | rew=0.05897 | loss=0.8668 | sps=7,071 | ent=0.0081 | log_std=-1.751 | t=1765s stepping
[0106/1525] steps=10,420,224 | rew=0.06511 | loss=0.2939 | sps=7,227 | ent=0.0081 | log_std=-1.742 | t=1778s stepping
[0107/1525] steps=10,518,528 | rew=0.07182 | loss=0.2458 | sps=7,192 | ent=0.0081 | log_std=-1.741 | t=1792s stepping
[0108/1525] steps=10,616,832 | rew=0.07576 | loss=0.2194 | sps=7,162 | ent=0.0081 | log_std=-1.739 | t=1806s stepping
[0109/1525] steps=10,715,136 | rew=0.07572 | loss=0.1654 | sps=7,161 | ent=0.0081 | log_std=-1.738 | t=1819s stepping
[0110/1525] steps=10,813,440 | rew=0.07352 | loss=0.1489 | sps=7,161 | ent=0.0081 | log_std=-1.737 | t=1833s stepping
